recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,error,Dataset,img_dir,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor
0.6964285714285714,0.7090909090909091,110,112,78,32,34,0.8890853524208069,0.0393805168569088,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,1
0.6964285714285714,0.7090909090909091,110,112,78,32,34,0.8890853524208069,0.0393805168569088,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,2
0.6964285714285714,0.7090909090909091,110,112,78,32,34,0.8890853524208069,0.0393805168569088,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,4
0.8035714285714286,0.6474820143884892,139,112,90,49,22,0.9082784652709961,0.038649216294288635,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,1
0.7946428571428571,0.7063492063492064,126,112,89,37,23,0.908441424369812,0.039465297013521194,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,2
0.7321428571428571,0.7068965517241379,116,112,82,34,30,0.8991984128952026,0.04198054224252701,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,4
0.8214285714285714,0.6216216216216216,148,112,92,56,20,0.9088223576545715,0.03782530874013901,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,1
0.7857142857142857,0.6821705426356589,129,112,88,41,24,0.9111007452011108,0.03838925063610077,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,2
0.7321428571428571,0.7068965517241379,116,112,82,34,30,0.90004962682724,0.042377304285764694,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,4
0.5267857142857143,0.8194444444444444,72,112,59,13,53,0.898569643497467,0.03560252487659454,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,1.0,0.7,0,0.7,1
0.5267857142857143,0.8194444444444444,72,112,59,13,53,0.898569643497467,0.03560252487659454,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,1.0,0.7,0,0.7,2
0.5267857142857143,0.8194444444444444,72,112,59,13,53,0.898569643497467,0.03560252487659454,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,1.0,0.7,0,0.7,4
0.6339285714285714,0.7244897959183674,98,112,71,27,41,0.9185139536857605,0.03443625941872597,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,1.0,0.7,1,0.7,1
0.5892857142857143,0.8048780487804879,82,112,66,16,46,0.9201960563659668,0.033479902893304825,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.72,0.92,1.0,0.7,1,0.7,2
