recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,error,Dataset,img_dir,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor
0.3928571428571428,0.8461538461538461,52,112,44,8,68,0.9052969217300416,0.0294854678213596,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,0.7,0.7,0,0.7,4
0.5446428571428571,0.782051282051282,78,112,61,17,51,0.9246320724487304,0.031539149582386,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,0.7,0.7,1,0.7,1
0.4821428571428571,0.8307692307692308,65,112,54,11,58,0.9226613640785216,0.032608188688755,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,0.7,0.7,1,0.7,2
0.4285714285714285,0.8421052631578947,57,112,48,9,64,0.9186968207359314,0.030339665710926,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,0.7,0.7,1,0.7,4
0.5446428571428571,0.7439024390243902,82,112,61,21,51,0.9272179007530212,0.0273449495434761,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,0.7,0.7,2,0.7,1
0.4821428571428571,0.8307692307692308,65,112,54,11,58,0.9264246821403505,0.0297570116817951,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,0.7,0.7,2,0.7,2
0.4285714285714285,0.8421052631578947,57,112,48,9,64,0.9194225668907166,0.0303114727139472,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,0.7,0.7,2,0.7,4
0.0446428571428571,1.0,5,112,5,0,107,0.915671706199646,0.0211518369615077,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,1.0,0.7,0,0.7,1
0.0446428571428571,1.0,5,112,5,0,107,0.915671706199646,0.0211518369615077,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,1.0,0.7,0,0.7,2
0.0446428571428571,1.0,5,112,5,0,107,0.915671706199646,0.0211518369615077,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,1.0,0.7,0,0.7,4
0.0982142857142857,0.9166666666666666,12,112,11,1,101,0.9166419506072998,0.0502491071820259,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,1.0,0.7,1,0.7,1
0.0714285714285714,0.8888888888888888,9,112,8,1,104,0.9189959168434144,0.0499306209385395,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,1.0,0.7,1,0.7,2
0.0446428571428571,0.8333333333333334,6,112,5,1,107,0.9177823066711426,0.0206470005214214,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,1.0,0.7,1,0.7,4
0.0982142857142857,0.7857142857142857,14,112,11,3,101,0.9176952242851256,0.0508789531886577,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,1.0,0.7,2,0.7,1
0.0714285714285714,0.8888888888888888,9,112,8,1,104,0.9189959168434144,0.0499306209385395,,Exp32,Exp32/39420224317029_low_2368,sam2.1_hiera_small.pt,32,128,0.8,0.95,1.0,0.7,2,0.7,2
